pl_name,ra,dec,sy_dist,X,Y,Z,pl_bmasse,color
Kepler-1617 b,287.9371747,46.4184781,898.31,190.7228273517306,-589.1819516232244,650.7305795092237,,n
Kepler-1618 b,295.1753619,45.9308594,1229.25,363.6980517148175,-773.7611848106637,883.2173676730116,,n
Kepler-1619 b,285.703595,44.4221528,734.85,142.05131771617877,-505.24196407317453,514.3505646682798,,n
Kepler-162 b,297.2789115,43.7239693,855.641,283.40505399425524,-549.5834578966743,591.4060526050164,,n
Kepler-162 c,297.2789115,43.7239693,855.641,283.40505399425524,-549.5834578966743,591.4060526050164,,n
Kepler-1620 b,297.2709026,46.9284743,895.069,280.074715192949,-543.3116365069338,653.8494737374542,,n
Kepler-1621 b,297.5885341,43.8411937,1631.66,545.02354950519,-1043.0422305257819,1130.18874150496,,n
Kepler-1622 b,297.3288329,47.815459,796.477,245.5482157957202,-475.15411590264057,590.178152246691,,n
Kepler-1623 b,294.082697,39.5560655,837.481,263.480701817915,-589.4960345853744,533.3355138547008,,n
Kepler-1624 b,292.5798564,37.3762616,258.979,79.0218879495062,-190.02617055939658,157.21233465738877,,n
Kepler-1625 b,295.429322,39.8865068,2310.11,761.1432605203873,-1600.8491006417123,1481.40180438631,,n
Kepler-1626 b,296.5004384,40.7212069,1368.83,462.9045705464246,-928.4251429734338,892.9959022089569,,n
Kepler-1627 b,284.0566675,41.5767277,317.437,57.675685716453756,-230.35372974599684,210.65830968239803,,n
Kepler-1628 b,281.6336936,43.4115547,,,,,,n
Kepler-1629 b,280.2066276,43.7743281,336.09,43.002658665825905,-238.8402073127868,232.51368737873366,,n
Kepler-163 b,295.0027458,46.9873389,689.814,198.88916126392542,-426.4658226939272,504.39405052173646,,n
Kepler-163 c,295.0027458,46.9873389,689.814,198.88916126392542,-426.4658226939272,504.39405052173646,,n
Kepler-1630 b,297.5083004,43.7110543,331.213,110.57890576285207,-212.3449883259786,228.87543097093297,,n
Kepler-1631 b,294.6325781,43.8076687,1305.99,392.82794493365003,-856.7233061539579,904.0582185190492,,n
Kepler-1632 b,294.4948769,43.9135575,716.76,214.08260290699243,-469.87273074124465,497.1248873656727,,n
Kepler-1633 b,288.5151733,44.9232545,1114.91,250.6835192555895,-748.5552141536657,787.3037359475645,,n
Kepler-1634 b,294.043399,45.1398201,617.339,177.4180121129207,-397.67643706808406,437.5885525236392,,n
Kepler-1635 b,285.3490542,45.5561768,1069.45,198.21680265232257,-722.1289307355486,763.5202741519205,,n
Kepler-1636 b,294.0575681,46.4409844,1947.54,547.0934892653859,-1225.4768525316451,1411.314015204468,,n
Kepler-1637 b,282.2368006,48.1542016,567.187,80.19996001157037,-369.78945461253073,422.5219741510607,,n
Kepler-1638 b,295.4823299,48.5244695,1525.52,434.68652662108485,-912.0630319721188,1142.9785298438123,,n
